family,n_train,n_test,R2_train,R2_test,RMSE_test,MAE_test,MaxErr_test,pearson_r_test,best_params
polynomial,192,83,0.8874780874022457,0.836265194711156,0.7985784937049094,0.6212811358744378,2.1345181153102253,0.9180025973310084,{'poly__degree': np.int64(2)}
ridge,192,83,0.788695756307997,0.7287452488307933,1.0278643021433382,0.7672282010268513,3.4835902021628744,0.8569679717075631,{'ridge__alpha': np.float64(12.32846739442066)}
lasso,192,83,0.7852963134402821,0.7270878049618221,1.0309997917276332,0.7775297221473711,3.49630015446695,0.8563947415308165,{'lasso__alpha': np.float64(0.1519911082952933)}
kernel_ridge,192,83,0.9466423898650842,0.871944866593265,0.7062290905284282,0.5031103539855173,2.8030160384887104,0.9482740881311501,"{'regressor__krr__alpha': np.float64(0.01), 'regressor__krr__gamma': np.float64(0.1)}"
gpr,192,83,0.9490225838196269,0.8850688800246187,0.6690613241480337,0.48916256556861004,2.549702603448438,0.950988995600806,{'gpr__kernel': 1**2 * RBF(length_scale=0.215) + WhiteKernel(noise_level=1)}
