AoA,CL_PM,CL_VLM,CL_CFD,CD_PM,CD_VLM,CD_CFD,CM_PM,CM_VLM,CM_CFD
115,-2.250087,-2.193961,0.311623419,-0.426768,-0.390783,1.049642299,0.340055,0.352901,-0.675854
120,-2.235818,-2.175512,0.372881067,-0.467411,-0.427806,0.983071398,0.38373,0.394794,-0.669527
125,-2.20678,-2.142497,0.434115693,-0.487026,-0.445541,0.920211653,0.41817,0.427466,-0.660326538
130,-2.158594,-2.090951,0.435948719,-0.485477,-0.443882,0.80291354,0.442329,0.449924,-0.649513791
135,-2.087189,-2.017198,0.459123977,-0.463979,-0.423964,0.71314118,0.455471,0.461486,-0.628194822
140,-1.989134,-1.918164,0.49325506,-0.425009,-0.388074,0.635672542,0.457198,0.4618,-0.595305853
145,-1.861934,-1.791643,0.497022163,-0.372123,-0.339489,0.546242216,0.447458,0.450858,-0.569106905
150,-1.704268,-1.636513,0.504772541,-0.309713,-0.282247,0.458369254,0.426546,0.428991,-0.542221
155,-1.516161,-1.452896,0.478755196,-0.242701,-0.220866,0.36005716,0.395097,0.396864,-0.498314
160,-1.299058,-1.242219,0.431608171,-0.176193,-0.16003,0.263103049,0.354068,0.355453,-0.445071
165,-1.055815,-1.007206,,-0.115135,-0.104268,,0.304705,0.306016,
170,-0.790594,-0.751783,0.221731865,-0.063966,-0.057643,0.092879171,0.248507,0.250056,-0.2874
175,-0.508676,-0.480896,0.071581886,-0.026318,-0.023468,0.042070072,0.187183,0.189272,-0.155183
180,-0.216194,-0.200277,-0.1637122,-0.004764,-0.004086,0.027612769,0.122596,0.125512,0.04213984
